#,الولاية,Zone
1,أدرار,Zone 4
2,الشلف,Zone 2
3,الأغواط,Zone 3
4,أم البواقي,Zone 2
5,باتنة,Zone 2
6,بجاية,Zone 2
7,بسكرة,Zone 3
8,بشار,Zone 4
9,البليدة,Zone 1
10,البويرة,Zone 2
11,تمنراست,Zone 5
12,تبسة,Zone 3
13,تلمسان,Zone 2
14,تيارت,Zone 2
15,تيزي وزو,Zone 2
16,الجزائر,Zone 0
17,الجلفة,Zone 3
18,جيجل,Zone 2
19,سطيف,Zone 2
20,سعيدة,Zone 2
21,سكيكدة,Zone 2
22,سيدي بلعباس,Zone 2
23,عنابة,Zone 2
24,قالمة,Zone 2
25,قسنطينة,Zone 2
26,المدية,Zone 2
27,مستغانم,Zone 2
28,المسيلة,Zone 2
29,معسكر,Zone 2
30,ورقلة,Zone 3
31,وهران,Zone 2
32,البيض,Zone 4
33,إليزي,Zone 5
34,برج بوعريريج,Zone 2
35,بومرداس,Zone 1
36,الطارف,Zone 2
37,تندوف,Zone 5
38,تسمسيلت,Zone 2
39,الوادي,Zone 3
40,خنشلة,Zone 2
41,سوق أهراس,Zone 2
42,تيبازة,Zone 1
43,ميلة,Zone 2
44,عين الدفلى,Zone 2
45,النعامة,Zone 4
46,عين تموشنت,Zone 2
47,غرداية,Zone 3
48,غليزان,Zone 2
49,تميمون,Zone 4
50,أولاد جلال,Zone 3
51,بني عباس,Zone 4
52,إن صالح,Zone 5
53,إن قزام,Zone 5
54,تقرت,Zone 3
55,جانت,Zone 5
56,المغير,Zone 3
57,المنيعة,Zone 3
58,الطارف (مذكورة سابقًا),Zone 2